"vin","timestamp","ActTransmissionGearLeverPos","B2V_MaxCellVoltage","B2V_MinCellVoltage","CrankshaftSpeed","DC_DC_Sts","EVehBatSOC","EVehTotalFlow","EVehTotalVol","InsulationResistance","MaxTemp","MinTemp","TotalVehicleDistance","VehBrakeSts","VehChargingSts","VehDriveSts","VehRunMode","VehicleSpeed","VehicleStatus","engine_state","EMsts","EMControlTmp","EMRotation","EMTorque","EMTemp","EMVoltage","EMBusCurrentFlow","geo_status","BrakeSystemAlarm"
"car_id_1",2018-02-08 14:47:18,"D",3.599,3.595,0,"1",0.26,9,374,8625,21,20,108,"0","3","1","1",6.1,"1","2","1",21,941,22,18,374,7.3,NA,"0"
"car_id_1",2018-02-08 14:47:48,"D",3.596,3.593,0,"1",0.25,9,373.5,8980,21,20,108,"0","3","0","1",9.2,"1","2","1",22,1015,17,19,373.5,6.5,"stationary","0"
"car_id_1",2018-02-08 14:48:18,"D",3.553,3.548,0,"1",0.25,35,368,8370,21,20,108,"0","3","1","1",23.6,"1","2","1",21,1180,87,20,368.3,34.3,"stationary","0"
"car_id_1",2018-02-08 14:48:48,"D",3.547,3.528,0,"1",0.23,7,370.8,8830,21,20,108,"0","3","1","1",41.3,"1","2","4",23,1637,0,23,371,0.5,"stationary","0"
"car_id_1",2018-02-08 14:49:18,"D",3.346,3.321,0,"1",0.22,197,338.8,7930,21,20,109,"0","3","1","1",39.9,"1","2","1",27,2967,184.3,28,338,187,"stationary","0"
"car_id_1",2018-02-08 14:49:48,"D",3.621,3.603,0,"1",0.19,-11,372.3,8575,22,21,109,"1","3","0","1",34.9,"1","2","2",23,1358,-68.8,31,372.8,-16.3,"in motion","0"
"car_id_1",2018-02-08 14:50:18,"D",3.597,3.578,0,"1",0.18,2,369.5,7350,22,21,109,"1","3","0","1",29.5,"1","2","4",23,1148,-16.8,32,369.8,-3.5,"in motion","0"
"car_id_1",2018-02-08 14:50:48,"D",3.309,3.286,0,"1",0.17,199,338.8,8775,22,21,109,"0","3","1","1",22.7,"1","2","1",26,2569,216.3,33,338.5,182,"in motion","0"
"car_id_1",2018-02-08 14:51:18,"D",3.495,3.478,0,"1",0.15,8,367,8150,22,21,109,"0","3","0","1",29.7,"1","2","4",27,1466,0,35,367.5,-0.8,"in motion","0"
"car_id_1",2018-02-08 14:51:48,"D",3.545,3.527,0,"1",0.14,4,368.5,8565,22,21,110,"1","3","0","1",12.7,"1","2","4",23,949,-16.8,36,369,-3.3,"in motion","0"
"car_id_1",2018-02-08 14:52:18,"0",3.549,3.534,0,"1",0.14,8,369,8150,23,22,110,"1","3","0","1",0,"1","2","4",22,0,0,35,369,0,"stationary","0"
"car_id_1",2018-02-08 14:52:48,"D",3.389,3.371,0,"1",0.1,86,351.5,8045,23,22,110,"0","3","1","1",58.2,"1","2","1",27,1770,129.3,41,351.3,78.8,"in motion","0"
"car_id_1",2018-02-08 14:53:18,"0",3.531,3.515,0,"1",0.09,8,367,7230,23,22,110,"1","3","0","1",0,"1","2","4",22,0,0,42,367.5,0,"in motion","0"
"car_id_1",2018-02-08 14:53:48,"D",3.46,3.442,0,"1",0.03,46,354,8500,23,22,110,"0","3","1","1",69.8,"1","2","1",32,2735,36,48,353.8,37.3,"in motion","0"
"car_id_1",2018-02-08 14:54:18,"D",3.508,3.492,0,"1",0.02,5,365,8010,24,23,111,"1","3","0","1",11.1,"1","2","4",25,821,-14.8,48,365.3,-3,"in motion","0"
"car_id_1",2018-02-08 14:54:48,"D",3.518,3.501,0,"1",0.01,8,365.5,7955,24,23,111,"1","3","0","1",0,"1","2","4",24,0,0,47,366,0,"in motion","0"
"car_id_1",2018-02-08 14:55:18,"0",3.527,3.51,0,"1",0.01,8,366.5,7875,24,23,111,"1","3","0","1",0,"1","2","4",23,0,0,45,367,0,"stationary","0"
"car_id_1",2018-02-08 14:55:48,"D",3.462,3.443,1041,"1",0.01,8,366.3,8005,24,23,111,"0","3","1","2",8.6,"1","1","4",25,1071,-7.8,44,366.8,-3,"in motion","0"
"car_id_1",2018-02-08 14:56:18,"D",3.539,3.523,1058,"1",0.01,0,367.8,7670,24,23,111,"1","3","0","2",0,"1","1","2",25,1063,-31.8,42,368.3,-7.3,"in motion","0"
"car_id_1",2018-02-08 14:56:48,"D",3.534,3.517,0,"1",0.01,5,367.5,7640,24,23,111,"1","3","0","1",0,"1","2","4",24,0,0,41,367.8,0,"stationary","0"
"car_id_1",2018-02-08 14:57:18,"0",3.536,3.52,0,"1",0.01,6,367.3,7865,24,23,111,"1","3","0","1",0,"1","2","4",24,-1,0,40,368,0,"stationary","0"
"car_id_1",2018-02-08 14:57:48,"D",3.574,3.558,1632,"1",0.01,8,367.3,7755,24,23,111,"0","3","1","2",22.1,"1","1","4",27,1633,0,41,367.5,1.5,"in motion","0"
"car_id_1",2018-02-08 14:58:18,"D",3.563,3.547,1670,"1",0.01,-2,370.8,7170,24,23,111,"0","3","1","2",34.1,"1","1","2",28,1698,-34.8,42,370.5,-8.3,"in motion","0"
